file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight
Crawfordsville-TP2-4351_14_18.TIF,360.6984126984127,474.18650793650795,359.1309523809524,3925.34126984127,1718.7698412698412,343.1984126984127,Crawfordsville-TP2-4351,14,18,0.04334503438906972,-0.005992088017515169,0.0433759090496965,33000.0,19.03,170.57,66.0,,,,,,,,,,,1.52,212.0
Crawfordsville-TP2-4353_5_46.TIF,361.0289256198347,501.97520661157023,361.73553719008265,3899.210743801653,1728.7768595041323,350.11570247933884,Crawfordsville-TP2-4353,5,46,0.04295146533661444,0.01487924179117651,0.0200676762562413,32000.0,16.52,149.47,64.0,,,,,,,,,,,0.0,223.0
Crawfordsville-TP2-4351_2_17.TIF,366.9793388429752,492.6776859504132,374.55371900826447,4030.086776859504,1790.1446280991736,354.74380165289256,Crawfordsville-TP2-4351,2,17,0.04452326166804739,0.01928460738304632,-0.006596067046484582,33500.0,18.21,168.4,67.0,,,,,,,,,,,7.46,242.0
Crawfordsville-TP2-4352_19_8.TIF,368.202479338843,502.900826446281,371.8181818181818,4163.446280991736,1836.1694214876034,360.0123966942149,Crawfordsville-TP2-4352,19,8,0.04610045412730222,0.012545754542081719,-0.0063646867705753575,31000.0,15.01,138.96,62.0,,,,,,,,,,,16.13,259.0
Crawfordsville-TP2-4352_4_4.TIF,391.82683982683983,545.6839826839827,404.15584415584414,4564.0952380952385,2015.2424242424242,387.991341991342,Crawfordsville-TP2-4352,4,4,0.05063638893760276,0.019980085365933632,-0.03476077874024845,34500.0,17.85,160.94,69.0,,,,,,,,,,,2.9,213.0
Crawfordsville-TP2-4351_14_16.TIF,390.8528138528139,549.5108225108225,407.3376623376623,4487.424242424242,1963.073593073593,396.94805194805195,Crawfordsville-TP2-4351,14,16,0.04959680133178714,-0.008906975409216731,-0.03118653915092387,30500.0,18.43,166.55,61.0,,,,,,,,,,,3.28,219.0
Crawfordsville-TP2-4352_21_7.TIF,375.17063492063494,499.3095238095238,366.98809523809524,3852.0873015873017,1741.9880952380952,346.8333333333333,Crawfordsville-TP2-4352,21,7,0.04239443633859882,0.04842003025277044,0.03580561431012552,31000.0,6.98,69.54,62.0,,,,,,,,,,,0.0,185.0
Crawfordsville-TP2-4351_9_17.TIF,355.2916666666667,480.0568181818182,341.13257575757575,3768.193181818182,1666.060606060606,312.31060606060606,Crawfordsville-TP2-4351,9,17,0.04161292497617279,0.02339754160726834,0.12947316502189354,33000.0,12.23,118.11,66.0,,,,,,,,,,,12.12,265.0
Crawfordsville-TP2-4351_18_18.TIF,348.81349206349205,484.25,353.5436507936508,3781.472222222222,1687.0595238095239,326.39285714285717,Crawfordsville-TP2-4351,18,18,0.0417272487692877,0.030861199596153254,0.03853293534419026,30500.0,15.64,139.2,61.0,,,,,,,,,,,0.0,244.0
Crawfordsville-TP2-4352_10_9.TIF,292.86147186147184,429.2121212121212,321.0735930735931,3956.069264069264,1651.6623376623377,324.6320346320346,Crawfordsville-TP2-4352,10,9,0.044121987961274735,-0.07570658937291783,-0.058092155747575445,,,,,,,,,,,,,,,,
